periodo,dolar
201701,15.909000396728516
201702,15.470000267028809
201703,15.416999816894531
201704,15.400500297546387
201705,16.140499114990234
201706,16.488000869750977
201707,17.802499771118164
201708,17.390300750732422
201709,17.523500442504883
201710,17.690000534057617
201711,17.416500091552734
201712,19.177000045776367
201801,19.62649917602539
201802,20.216999053955078
201803,20.12700080871582
201804,20.538999557495117
201805,24.920000076293945
201806,28.05500030517578
201807,27.24799919128418
201808,38.729000091552734
201809,39.8380012512207
201810,36.72600173950195
201811,37.724998474121094
201812,37.691001892089844
201901,37.48500061035156
201902,38.7599983215332
201903,43.61800003051758
201904,44.334999084472656
201905,44.55350112915039
201906,42.6973991394043
201907,43.86199951171875
201908,57.874000549316406
201909,57.07899856567383
201910,59.62680435180664
201911,59.77360153198242
201912,59.88560104370117
